,name,cate_1,cate_2,cate_3,state,dong,lon,lat
48099,단월드장안센터,요가/단전/마사지,단전호흡,그외 기타 스포츠시설 운영업,동대문구,장안2동,37.5718225841748,127.071822168428
48124,장터국수,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,답십리1동,37.5703396872284,127.050773616136
48140,황실당구장,PC/오락/당구/볼링등,당구장,당구장 운영업,성북구,정릉3동,37.607486617159296,127.00020758066401
48143,케이엠유통,종합소매점,수퍼마켓,슈퍼마켓,성북구,길음1동,37.604320417561205,127.022368347264
48201,동북식당,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.575681969398296,127.039520629501
48234,성남순대,별식/퓨전요리,순대전문점,한식 음식점업,동대문구,청량리동,37.58060169508121,127.043963496077
48263,노구만두,분식,라면김밥분식,분식 및 김밥 전문점,성북구,석관동,37.6095637208646,127.06111447208099
48312,취중커피,유흥주점,호프/맥주,기타 주점업,성북구,보문동,37.5815294410854,127.01866982350799
48344,경동광장상가,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,제기동,37.580100933998295,127.038886458199
48348,풀코스꼬치구이,유흥주점,꼬치구이전문점,기타 주점업,동대문구,장안1동,37.5669688097169,127.064196303155
48388,제이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.594457869222005,126.98860513921001
48416,자산어보,유흥주점,소주방/포장마차,기타 주점업,동대문구,용신동,37.5735863826742,127.03117022405
48498,카페테인,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉3동,37.6083196689768,127.003888685359
48519,대지슈퍼마켓,종합소매점,할인점,기타 대형 종합 소매업,동대문구,전농1동,37.577169656803996,127.055272030431
48546,GS25,종합소매점,편의점,체인화 편의점,동대문구,장안2동,37.5710342094059,127.07125461469299
48580,불타는소금구이,한식,한식/백반/한정식,한식 음식점업,성북구,동선동,37.5893738575209,127.01931416083099
48600,대성금속위생기,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리1동,37.5723361304977,127.048053992052
48646,닛시스시,일식/수산물,음식점-초밥전문,일식 음식점업,동대문구,이문2동,37.6031419075933,127.06598574954201
48648,명가통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,석관동,37.6055771910785,127.06175351138701
48714,감동필라테스,요가/단전/마사지,요가/단식,기타 미용관련 서비스업,성북구,길음2동,37.6102389672996,127.02985681302799
48776,짱구네김밥,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,장안2동,37.5784500716162,127.06785664010599
48789,그로우랩스터디카페동대문,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,휘경2동,37.5843013032375,127.068293190491
48837,위넌스터디카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.589643490521496,127.007376058085
48843,티바두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,석관동,37.6098432648614,127.063410180797
48857,모소리,한식,한식/백반/한정식,한식 음식점업,성북구,길음1동,37.60443966478179,127.02480174086901
48864,보석당,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,동대문구,회기동,37.5903119858281,127.055909882546
48937,초원가요주점,유흥주점,룸살롱/단란주점,일반유흥 주점업,동대문구,용신동,37.5776789462465,127.03911005326
48945,밤피티앤필라테스,요가/단전/마사지,요가/단식,기타 미용관련 서비스업,동대문구,회기동,37.591099419929705,127.054099519302
48993,엄마의덮밥,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.56515344669621,127.068214779855
49021,롤러스,한식,한식/백반/한정식,한식 음식점업,성북구,삼선동,37.5893026623805,127.01725429638901
49047,뉴타운당구장,PC/오락/당구/볼링등,당구장,당구장 운영업,성북구,길음1동,37.602275843430704,127.021375850437
49078,회기1구역재개발조합,종합소매점,조합/연금매장,기타 음·식료품 위주 종합 소매업,동대문구,회기동,37.590253886152794,127.05428006917101
49083,이스케이프시티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,동선동,37.5908019020115,127.017676191199
49088,재한루,중식,중국음식/중국집,중식 음식점업,성북구,석관동,37.61168210389479,127.06350038510901
49142,컵짱,분식,라면김밥분식,분식 및 김밥 전문점,성북구,삼선동,37.5843004064255,127.01060593283998
49164,딸랑구족발,한식,족발/보쌈전문,한식 음식점업,성북구,월곡2동,37.6017150815532,127.041983302703
49165,한잔해,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.570213542317,127.06887623851001
49167,목포식당,한식,한식/백반/한정식,한식 음식점업,동대문구,제기동,37.580823829996206,127.042466177159
49189,샘터족발,한식,족발/보쌈전문,한식 음식점업,성북구,석관동,37.610043422131604,127.064789473606
