,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detal,음주여부,대표메뉴,메뉴 5가지,데이트 컨셉
191,국수먹는 꼴뚜기,,,,,,,,,,,,,
192,안암가든,,,,,,,,,,,,,
193,PNYX bar,,,,,,,,,,,,,
194,어바웃샤브,,,,,,,,,,,,,
195,역전할머니맥주 서울고대점,,,,,,,,,,,,,
196,빠따떼프리또,,,,,,,,,,,,,
197,안암동 양식당,,,,,,,,,,,,,
198,커피스토어,,,,,,,,,,,,,
199,오거리술집,,,,,,,,,,,,,
200,동네푸줏간,,,,,,,,,,,,,
201,커피수공업,,,,,,,,,,,,,
202,동s 꼬치,,,,,,,,,,,,,
203,SMTH,,,,,,,,,,,,,
204,만화카페 딩굴,,,,,,,,,,,,,
205,래디컬브루잉클럽,,,,,,,,,,,,,
206,캐치카페 안암,,,,,,,,,,,,,
207,ann,,,,,,,,,,,,,
208,레스이즈모어,,,,,,,,,,,,,
209,카페 설곡,,,,,,,,,,,,,
211,Pika Coffee,,,,,,,,,,,,,
212,린다스 카페,,,,,,,,,,,,,
213,매머드커피,,,,,,,,,,,,,
216,빈올로지,,,,,,,,,,,,,
217,보드게임카페 로직,,,,,,,,,,,,,
218,카페파우제,,,,,,,,,,,,,
219,더퍼스트펭귄 고대점,,,,,,,,,,,,,
222,카페 하룻고양이,,,,,,,,,,,,,
223,라운즈맨커피,,,,,,,,,,,,,
224,카페 브레송,,,,,,,,,,,,,
226,카페로뎀,,,,,,,,,,,,,
228,아임빈,,,,,,,,,,,,,
229,써니사이드커피,,,,,,,,,,,,,
231,HAMMERcoffeeroasters,,,,,,,,,,,,,
233,OKLM,,,,,,,,,,,,,
234,버블티킹,,,,,,,,,,,,,
235,레인커피,,,,,,,,,,,,,
237,카페 봄,,,,,,,,,,,,,
238,카페끄망,,,,,,,,,,,,,
239,커피나무 고려대점,,,,,,,,,,,,,
240,만화카페통툰,,,,,,,,,,,,,
241,가문비커피,,,,,,,,,,,,,
242,메가커피 고대점,,,,,,,,,,,,,
243,커피빈코리아 고대참살이길점,,,,,,,,,,,,,
244,카페 맬로우,,,,,,,,,,,,,
245,랭스터디카페고려대점,,,,,,,,,,,,,
247,호점,,,,,,,,,,,,,
249,쥬씨 고려대점,,,,,,,,,,,,,
250,빽다방 안암역점,,,,,,,,,,,,,
251,데클렌 커피,,,,,,,,,,,,,
252,셀렉토커피 고대안암점,,,,,,,,,,,,,
254,와피 고대점,,,,,,,,,,,,,
255,히든폼,,,,,,,,,,,,,
256,이전,,,,,,,,,,,,,
257,캘린더커피스탠드,,,,,,,,,,,,,
259,공차 고대안암,,,,,,,,,,,,,
260,또랑,,,,,,,,,,,,,
261,커피날에,,,,,,,,,,,,,
262,카페소,,,,,,,,,,,,,
263,노르웨이의숲,,,,,,,,,,,,,
264,자갈자갈,,,,,,,,,,,,,
265,유즈리스 어덜트,,,,,,,,,,,,,
266,스틸커피,,,,,,,,,,,,,
267,평행선,,,,,,,,,,,,,
268,카페드 구띠에,,,,,,,,,,,,,
269,카페 마노아,,,,,,,,,,,,,
270,카페 플러터,,,,,,,,,,,,,
272,카페파파고,,,,,,,,,,,,,
273,앤드모어,,,,,,,,,,,,,
274,카페 라센느,,,,,,,,,,,,,
275,카페 위코브,,,,,,,,,,,,,
276,전광수커피하우스 고려대점,,,,,,,,,,,,,
277,MINNIM,,,,,,,,,,,,,
278,카페b,,,,,,,,,,,,,
279,이즘 카페,,,,,,,,,,,,,
280,카페구월,,,,,,,,,,,,,
282,아뜰리에 마미(ATELIER ET M'AMIE),,,,,,,,,,,,,
283,카페오캄,,,,,,,,,,,,,
